dataset_name,contrastive,header_type,header_training_paradigm,in_batch_cl,freeze_contrastive_param,multitask,batch_size_contrastive,batch_size_residual,lr_contrastive,mm_contrastive,wd_contrastive,optim_contrastive,feature_input_dim,feature_hidden_dim,feature_output_dim,feature_extractor_depth,projection_output_dim,lr_unimodal,lr_bimodal,lr_trimodal,mm_unimodal,mm_bimodal,mm_trimodal,wd_unimodal,wd_bimodal,wd_trimodal,optim_unimodal,optim_bimodal,optim_trimodal,prediction_head_depth,num_epochs_contrastive,num_epochs_residual,patience_contrastive,patience_residual,warmup_epochs,load_pretrain_contrastive,load_pretrain_residual,load_checkpoint_filepath,loss_fn_name,metric_list,seed,save_checkpoint_filepath,best_metric_result
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709069126.pt,"{'mae': 0.9658284773889626, 'corr': 0.6618425285122082}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709262759.pt,"{'mae': 0.9658284773889626, 'corr': 0.6618425285122082}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709264319.pt,"{'mae': 0.9555544600898788, 'corr': 0.6508065460974081}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709277969.pt,"{'mae': 0.9377667588312707, 'corr': 0.6525250220916797}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709285403.pt,"{'mae': 0.9265693641780315, 'corr': 0.6712891717603506}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709293775.pt,"{'mae': 0.9555544600898788, 'corr': 0.6508065460974081}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709301816.pt,"{'mae': 0.9265693641780315, 'corr': 0.6712891717603506}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709309002.pt,"{'mae': 0.9377667588312707, 'corr': 0.6525250220916797}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709320973.pt,"{'mae': 0.9658284773889626, 'corr': 0.6618425285122082}"
mosi_sentiment,True,residual,simultaneous,True,True,False,32,256,0.01,0.5,1e-06,sgd,"{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}","{'vision': 188, 'acoustic': 210, 'language': 686, 'eda': 96, 'ecg': 82}","{'vision': 125, 'acoustic': 140, 'language': 457, 'eda': 62, 'ecg': 54}",2,"{'vision': 64, 'acoustic': 64, 'language': 64, 'eda': 64, 'ecg': 64}",0.01,0.01,0.001,0.5,0.5,0.5,1e-06,1e-06,1e-06,sgd,sgd,sgd,2,100,200,20,40,1,False,False,None,mae+corr,"['mae', 'corr']",1706,./checkpoint/mosi_sentiment_1709323930.pt,"{'mae': 0.9555544600898788, 'corr': 0.6508065460974081}"
